ticker,year,quarter,EBITMargin,ROA,ROE,ROIC,EPS,P/B,P/E,RevenueGrowth,GrossProfitGrowth,DebtToEquityRatio
BNA,2024,2,0.08202357,0.05556613,0.1322244,0.0935574,670.54407928,0.60012397,4.71870193,0.39193318,0.54204759,1.08224727
BNA,2024,3,0.07328201,0.04471026,0.11659457,0.08253087,647.54689021,0.54315946,4.85307946,0.10614235,-0.06415983,1.42990934
BNA,2024,4,0.04880202,0.03959867,0.10764696,0.07457609,410.66591349,0.4332348,4.23022266,0.09348904,0.06431437,1.59705343
BNA,2025,1,0.0306169,0.02816748,0.08448083,0.06333047,-92.91472887,0.464092,5.59664954,0.30219194,-0.05460741,1.72361943
BNA,2025,2,0.08560172,0.00603756,0.01933893,0.03970326,-522.79779237,0.46052148,23.37461135,0.30269354,0.35397076,1.79911364
BPC,2023,1,0.00744324,0.003694,0.007951,0.0212083,-82.92952,0.42262275,51.7748231,-0.20769264,-0.04532158,0.42057605
BPC,2023,2,0.02452338,0.007475,0.0162,0.02825049,255.19269711,0.40282326,24.83188027,-0.12099875,-0.02783365,0.29117634
BPC,2023,3,0.02684341,0.01049092,0.02232421,0.01066388,249.54291553,0.40280225,18.1533926,-0.0411591,0.05270486,0.33252927
BPC,2023,4,0.00410057,0.00572073,0.01201461,0.01892435,-125.09228605,0.3765032,31.3433342,-0.15873783,-0.1538609,0.37770488
BPC,2024,1,0.00730439,0.00729433,0.0148386,0.02092798,-13.16164026,0.30784406,20.73773475,0.08883294,0.13600736,0.41716874
BPC,2024,2,0.01597987,0.00544703,0.0110015,0.01746287,160.35556605,0.41138073,37.18094033,0.18963509,0.12785535,0.21686827
BPC,2024,3,0.00879641,0.00133776,0.00271908,0.008128,44.88071316,0.40656445,149.2930536,0.03140733,-0.14872486,0.26080715
BPC,2024,4,0.01099473,0.00600821,0.01168955,0.01829835,96.62202474,0.54266461,46.41550002,0.39224675,0.20482379,0.20686305
BPC,2025,1,0.00741639,0.00650437,0.01305031,0.01868345,19.67988632,0.43702317,33.58854508,-0.00062187,0.07986603,0.37697519
BPC,2025,2,0.01063821,0.00550911,0.01095354,0.01571835,108.64283211,0.51767863,47.06746418,0.00655752,0.02849611,0.27977206
BSC,2023,1,0.36641087,0.05396,0.058008,0.02298113,196.82098721,0.98021217,17.28243893,0.05764431,0.13936227,
BSC,2023,2,0.15584075,0.057024,0.062306,0.02742864,252.07753431,1.00795685,16.03712222,-0.15535349,-0.06999274,
BSC,2023,3,0.25620288,0.063199,0.069268,0.0304716,186.69360091,0.99239452,14.35146711,0.06456702,0.08074945,
BSC,2023,4,0.1613223,0.064128,0.06895691,0.01164504,203.64935553,0.97542898,14.18596392,0.27660341,0.1605942,
BSC,2024,1,0.23477676,0.06122429,0.06736532,0.03802261,177.40782329,1.17868419,17.80860669,0.36359435,-0.08178639,
BSC,2024,2,0.29167606,0.05651755,0.0615204,0.04606948,191.29188507,1.16075821,19.23475541,0.24702728,0.13047715,
BSC,2024,3,0.20750406,0.05347609,0.05820649,0.04957693,155.13627403,1.14661591,20.069133,0.74066692,0.12224438,
